code,name,行业,股息率_2023,最高_比_最低,最新_比_最高,最新_比_最低
300577,开润股份,纺织服装,0.43,144.74,-12.77,113.48
300590,移为通信,通信设备,1.2,80.06,-1.35,77.62
300623,捷捷微电,半导体,0.32,74.88,-3.83,68.19
300627,华测导航,通信设备,1.14,41.81,-5.47,34.06
300643,万通智控,汽车零部件,1.19,115.1,-12.38,88.46
300673,佩蒂股份,农牧饲渔,0.0,63.91,-7.9,50.96
300677,英科医疗,医疗器械,0.27,65.77,-1.73,62.89
300679,电连技术,消费电子,0.9,62.61,-12.62,42.08
300698,万马科技,通信设备,0.0,86.15,-11.47,64.81
300699,光威复材,化学制品,1.84,41.26,-14.13,21.31
300721,怡达股份,化学制品,0.74,137.91,-12.57,108.01
300750,宁德时代,电池,1.14,48.94,-14.23,27.74
300760,迈瑞医疗,医疗器械,2.06,21.95,-10.27,9.42
300761,立华股份,农牧饲渔,0.0,67.34,-13.93,44.03
300801,泰和科技,化学制品,1.1,56.81,-12.91,36.57
300807,天迈科技,计算机设备,0.0,179.27,-7.02,159.67
300808,久量股份,光学光电子,1.08,109.6,-14.29,79.65
300816,艾可蓝,汽车零部件,0.0,102.54,-12.97,76.27
300849,锦盛新材,美容护理,0.0,53.8,-3.49,48.43
300857,协创数据,消费电子,0.15,203.35,0.0,203.35
300872,天阳科技,互联网服务,0.38,60.51,-8.29,47.19
300881,盛德鑫泰,钢铁行业,2.03,102.57,-10.17,81.97
300893,松原股份,汽车零部件,0.66,40.66,-4.48,34.36
300936,中英科技,电子元件,1.67,109.6,-12.22,83.99
300976,达瑞电子,消费电子,0.49,84.33,-14.42,57.75
300979,华利集团,纺织服装,1.99,57.29,-13.4,36.21
300991,创益通,电子元件,0.16,140.41,-5.51,127.17
301004,嘉益股份,家用轻工,2.3,132.09,-10.49,107.74
301020,密封科技,汽车零部件,0.96,98.35,-14.05,70.48
301023,江南奕帆,电机,2.57,105.9,-14.98,75.06
301033,迈普医学,医疗服务,1.03,101.68,-10.73,80.04
301055,张小泉,通用设备,1.11,87.84,-13.41,62.66
301062,上海艾录,包装材料,0.48,56.21,-8.65,42.7
301182,凯旺科技,消费电子,0.0,169.98,-10.37,141.99
301199,迈赫股份,专用设备,0.27,94.61,-4.65,85.55
301217,铜冠铜箔,电子元件,0.48,65.2,-11.28,46.57
301280,珠城科技,电子元件,2.61,73.39,-12.62,51.5
301285,鸿日达,电子元件,0.38,81.36,-12.9,57.96
301300,远翔新材,化学制品,1.22,110.51,-14.16,80.71
301308,江波龙,半导体,0.0,57.85,-8.09,45.09
301309,万得凯,通用设备,1.21,49.76,-12.98,30.32
301498,乖宝宠物,食品饮料,0.33,66.12,-14.96,41.27
600004,白云机场,航空机场,0.76,21.41,-11.21,7.79
600009,上海机场,航空机场,0.35,21.98,-8.12,12.08
600011,华能国际,电力行业,2.23,42.82,-14.2,22.54
600017,日照港,航运港口,2.39,18.18,-8.7,7.91
